Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,C-0402-0.1uF-16V,C0402,108.6,-56.2,-90.0,top
C1,C-0402-0.1uF-16V,C0402,108.6,-49.7,-90.0,top
C10,C-0402-0.1uF-16V,C0402,143.7,-31.9,180.0,top
C11,C-0402-0.1uF-16V,C0402,150.2,-31.9,180.0,top
C12,C-0402-0.1uF-16V,C0402,156.7,-31.9,180.0,top
C13,C-0402-0.1uF-16V,C0402,163.2,-31.9,180.0,top
C14,C-0402-0.1uF-16V,C0402,169.7,-31.9,180.0,top
C15,C-0402-0.1uF-16V,C0402,176.2,-31.9,180.0,top
C16,C-0402-0.1uF-16V,C0402,140.8,-37.46,180.0,top
C2,C-0402-0.1uF-16V,C0402,108.6,-43.2,-90.0,top
C3,C-0402-0.1uF-16V,C0402,108.6,-36.7,-90.0,top
C4,C-0402-0.1uF-16V,C0402,104.7,-31.9,180.0,top
C5,C-0402-0.1uF-16V,C0402,111.2,-31.9,180.0,top
C6,C-0402-0.1uF-16V,C0402,117.7,-31.9,180.0,top
C7,C-0402-0.1uF-16V,C0402,124.2,-31.9,180.0,top
C8,C-0402-0.1uF-16V,C0402,130.7,-31.9,180.0,top
C9,C-0402-0.1uF-16V,C0402,137.2,-31.9,180.0,top
H0,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,105.0,-55.7,-90.0,top
H1,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,104.9875,-49.2,-90.0,top
H10,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,144.2,-28.3275,180.0,top
H11,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,150.7,-28.3275,180.0,top
H12,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,157.2,-28.3275,180.0,top
H13,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,163.7,-28.3275,180.0,top
H14,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,170.2,-28.3275,180.0,top
H15,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,176.7,-28.3275,180.0,top
H2,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,104.9875,-42.7,-90.0,top
H3,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,104.9875,-36.2,-90.0,top
H4,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,105.2,-28.3275,180.0,top
H5,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,111.7,-28.3275,180.0,top
H6,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,118.2,-28.3275,180.0,top
H7,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,124.7,-28.3275,180.0,top
H8,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,131.2,-28.3275,180.0,top
H9,JST-SM03B,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,137.7,-28.3275,180.0,top
U2,CD74HC4067M96,SOIC-24_L15.4-W7.5-P1.27-LS10.3-BL,149.45,-42.2,0.0,top
U3,2.5x3mm-BUTTON,KEY-SMD_L3.0-W2.5-LS4.0_TD-1183SN,151.7,-53.7,180.0,top
